Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
1,,,,,IlluminationWavelengthRange,,,"A  range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
1,,,,,,IlluminationPower,,"This field records the nominal Illumination Power (also known as Power Output or Illumination Intensity) emitted at Peak Wavelength by this Light Source, as advertised by the Manufacturer.",float with unit:IlluminationPowerUnit [default mW],,,R,,,,
2,,,,,,PeakWavelength,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,WavelengthRange,R,,,,
2,,,,,,CutOn,,"CutOn is the Wavelength below which the response rate is below 50%. In case a CutOn Wavelength is not available, such as in the case of a ShortPass or Notch configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
2,,,,,,CutOff,,"CutOff is the Wavelength below which the response rate is below 50%. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
3,,,,,,WavelengthProfileFile,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,Filament,,,,"A Filament lamp is an incandescent Light Source with a wire filament (usually tungsten), which is heated by the passage of an electric current to such a high temperature that it glows with visible light (incandescence). The emitted spectrum is continuous, and it approximates that of a black-body radiator.",,,,,,same,-,-
1,,,,,Type,,,"This field records the type of Filament lamp Light Source. A Halogen lamp is a Filament lamp whose envelope contains halogen vapor, which reduces the loss of tungsten from the filament. This, in turn, allows to reach a high filament temperature and consequent higher luminance, higher color temperature, and longer operating life than a Standard Filament lamp of the same input power.",enum,"Standard, Halogen, Other",FilamentType,R,,same,,enum
1,,,,,IlluminationWavelengthRange,,,"A  range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
1,,,,,,IlluminationPower,,"This field records the nominal Illumination Power (also known as Power Output or Illumination Intensity) emitted at Peak Wavelength by this Light Source, as advertised by the Manufacturer.",float with unit:IlluminationPowerUnit [default mW],,,R,,,,
2,,,,,,PeakWavelength,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,WavelengthRange,R,,,,
2,,,,,,CutOn,,"CutOn is the Wavelength below which the response rate is below 50%. In case a CutOn Wavelength is not available, such as in the case of a ShortPass or Notch configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
2,,,,,,CutOff,,"CutOff is the Wavelength below which the response rate is below 50%. In case a CutOff Wavelength is not available, such as in the case of a LongPass configuration, please enter 000.",positiveFloat with unit:WavelengthUnit,,WavelengthRange,,,,,
3,,,,,,WavelengthProfileFile,,This element consists of a file containing the Wavelength profile of this hardware component.,Element,,FileAnnotation,0... ∞,,,,
e,e,,,,,,,,,,,,,,,
1,Y,,,Laser,,,,"A Light Source, which emits coherent radiation at high spectral concentrations of radiance and minimal solid angles. This includes proper Light Amplification by Stimulated Emission of Radiation (LASER) sources that emit light through a process of optical amplification based on the stimulated emission of electromagnetic radiation. It also includes Optical Parametric Oscillator (OPO) sources that use a kind of LASER resonator but based on optical gain from parametric amplification in a nonlinear crystal rather than from stimulated emission.",,,,,,same,-,-
1,Y,,,,Type,,,"The general category of the laser used for this experiment (e.g., Semiconductor Laser Diode, Solid state, Gas, etc.).",enum,"Chemical, DiodePumpedSolidState (DPSS), Dye, Gas, MetalVapor, OpticalParametricOscillator(OPS), SolidState, SemiconductorLaserDiode, Other",LaserType,,,same,,enum
1,Y,,,,Tuneable,,,Whether (True) or not (False) this Laser is Tuneable to different Wavelengths,boolean,,,,,same,,boolean
1,Y,,,,Pulse,,,"Whether this Laser emits light in the form of optical Pulses (i.e., light flashes; True) or as a Continuous Wave (CW; False).",boolean,,,,,same,,enum
2,,,,,LaserMedium,,,This field captures the material out of which this Laser is constructed.,enum,"Ag, Alexandrite, Ar, ArCl, ArFl, ArKr, CO, CO2, CoumarinC30, Cu, EMinus, ErGlass, ErYAG, GaAlAs, GaAs, H2O, HeCd, HeNe, HFl, HoYAG, HoYLF, Kr, KrCl, KrFl, N, NdGlass, NdYAG, Rhodamine6G, Ruby, TiSapphire, Xe, XeBr, XeCl, XeFl, Other",LaserMedium,,,same,,enum
2,,,,,IsPumped,,,Whether (True) or not (False) this is a pumped Laser.,boolean,,,R,,was Pump,,boolean
3,,,,,RepetitionRate,,,"In the case this is a pulsed Laser (Pulse is True), this field (also known as Pulse Frequency) describes the frequency of laser pulses. The default unit is Hz.",float with unit:RepetitionRateUnit; [default Hz],,,,,same,,float
